"_type","id_vea","name","oferta","parents","price","unit_price"
"VeaArticle","142315","CURADOR LÍQUIDO CLINSY INCOLORO PVC 1 LT.","","Menú,Limpieza,Limpiadores,Pisos,Curadores","$73.65","$81.83 x Lt"
"VeaArticle","142251","CURADOR LÍQUIDO CLINSY NEGRO PVC 1 LT.","","Menú,Limpieza,Limpiadores,Pisos,Curadores","$73.65","$81.83 x Lt"
"VeaArticle","142274","CURADOR LÍQUIDO CLINSY ROJO PVC 1 LT.","","Menú,Limpieza,Limpiadores,Pisos,Curadores","$72.85","$80.94 x Lt"
"VeaArticle","385682","QUITA CERA SUIZA-MADERA-AL SOLVENTE-LAT-CC.-900","","Menú,Limpieza,Limpiadores,Pisos,Curadores","$85.19","$189.31 x Lt"
"VeaArticle","279487","DESINFECTANTE LÍQUIDO PARA PISOS LYSOFORM LAVANDA DOY PACK X 500ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$13.59","$30.2 x Lt"
"VeaArticle","275166","DESINFECTANTE LÍQUIDO PARA PISOS LYSOFORM ORIGINAL BOTELLA X 900ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$20.35","$22.61 x Lt"
"VeaArticle","256294","DESINFECTANTE LÍQUIDO PARA PISOS LYSOFORM ORIGINAL DOY PACK X 500ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$13.59","$30.2 x Lt"
"VeaArticle","275169","DESINFECTANTE LÍQUIDO PARA PISOS LYSOFORM ORIGINAL DOY PACK X 800ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$18.79","$23.49 x Lt"
"VeaArticle","414896","LIMP DESINFECTANTE LÍQ DETTOL ESPADOL LAVAND 1,8LT","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$51.75","$28.75 x Lt"
"VeaArticle","414884","LIMP DESINFECTANTE LÍQ DETTOL ESPADOL LAVAND 900ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$28.75","$31.94 x Lt"
"VeaArticle","414893","LIMP DESINFECTANTE LÍQ DETTOL ESPADOL MENTOL 1,8LT","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$51.75","$28.75 x Lt"
"VeaArticle","414883","LIMP DESINFECTANTE LÍQ DETTOL ESPADOL MENTOL 900ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$28.75","$31.94 x Lt"
"VeaArticle","414882","LIMP DESINFECTANTE LÍQ DETTOL ESPADOL ORIG. 900ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$28.75","$31.94 x Lt"
"VeaArticle","256327","LIMPIADOR BLEM PARA PISOS PLASTIFICADOS Y FLORANTES X 900ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$36.55","$40.61 x Lt"
"VeaArticle","434261","LIMPIADOR LIQ. NVA FÓRMULA PROCENEX FLORES DEL JARDÍN 1,8L","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$31.92","$17.73 x Lt"
"VeaArticle","434267","LIMPIADOR LIQ. NVA FÓRMULA PROCENEX FLORES DEL JARDÍN 5L","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$80.29","$16.06 x Lt"
"VeaArticle","434206","LIMPIADOR LIQ. NVA FÓRMULA PROCENEX LAVANDA 900ML","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$18.99","$21.1 x Lt"
"VeaArticle","434243","LIMPIADOR LIQ. NVA FÓRMULA PROCENEX LIMÓN 1,8L","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$31.92","$17.73 x Lt"
"VeaArticle","434264","LIMPIADOR LIQ. NVA FÓRMULA PROCENEX MARINA 5L","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$80.29","$16.06 x Lt"
"VeaArticle","434262","LIMPIADOR LIQ. NVA FÓRMULA PROCENEX NIÑEZ 1,8L","","Menú,Limpieza,Limpiadores,Pisos,Limpiadores Líquidos","$31.92","$17.73 x Lt"
